CustomerID,Country,Name,Phone
17850.0,United Kingdom,Monica Harvey,334-381-3701
13047.0,United Kingdom,Beverly Frazier,125-662-8810
12583.0,France,Cathy Langley,354-154-5383
13748.0,United Kingdom,Anita Hedges,414-553-3681
15100.0,United Kingdom,Wonda Jones,574-794-6493
15291.0,United Kingdom,Grace Burgess,539-816-8482
14688.0,United Kingdom,Jane Mchenry,845-827-0559
17809.0,United Kingdom,Madeline Foss,431-021-2530
15311.0,United Kingdom,Gloria Delreal,111-245-4580
14527.0,United Kingdom,Alberta Arrington,809-452-4187
16098.0,United Kingdom,Wesley Stephenson,215-780-6800
18074.0,United Kingdom,Melvin Davis,527-741-4497
17420.0,United Kingdom,Rudy Millard,129-678-7871
16029.0,United Kingdom,Annie Davis,498-414-0847
16250.0,United Kingdom,Mildred Zaragoza,630-082-9365
12431.0,Australia,Anthony Lamothe,210-398-9693
17511.0,United Kingdom,Amy Warner,267-237-9453
17548.0,United Kingdom,Andrew Carter,821-842-2815
13705.0,United Kingdom,Jean Holt,334-752-1518
13747.0,United Kingdom,Deanna Oneill,668-745-9447
13408.0,United Kingdom,William Lowe,150-748-3412
13767.0,United Kingdom,Ramona Casanova,557-367-6457
17924.0,United Kingdom,Johanna Boyd,780-011-4093
13448.0,United Kingdom,Glen Kelsheimer,359-554-6984
15862.0,United Kingdom,Elsie Durk,881-401-1076
15513.0,United Kingdom,Teresa Nolan,260-076-1566
12791.0,Netherlands,Mary Sauter,880-693-8426
16218.0,United Kingdom,Maryann Dryer,726-028-3283
14045.0,United Kingdom,David Malone,635-459-8935
14307.0,United Kingdom,Gary Fuqua,967-335-3043
17908.0,United Kingdom,Ralph Marden,974-469-4678
17920.0,United Kingdom,Reyes Doyle,439-729-1683
12838.0,United Kingdom,Ramiro Seery,926-832-9514
13255.0,United Kingdom,Debra Neel,376-034-5313
16583.0,United Kingdom,Lena Harris,153-068-0799
18085.0,United Kingdom,Debra Garvey,222-603-0401
13758.0,United Kingdom,Helen Ferrell,278-306-0847
13694.0,United Kingdom,Matthew Jernigan,967-304-1012
15983.0,United Kingdom,Carey Henry,931-010-4086
14849.0,United Kingdom,Stephanie Williams,971-069-3184
17968.0,United Kingdom,Lillie Quiroz,433-480-9701
16210.0,United Kingdom,Frederic Miller,154-693-4914
17897.0,United Kingdom,Henry Westbrook,795-726-6683
17377.0,United Kingdom,Denise Grice,659-649-3494
16552.0,United Kingdom,Elmo Schoolfield,564-293-7810
17181.0,United Kingdom,Barry Fuller,228-882-1608
17951.0,United Kingdom,Joshua Harvey,680-044-2803
14729.0,United Kingdom,Thomas Anderson,770-386-3120
12748.0,United Kingdom,Laurie Evans,166-413-4635
15012.0,United Kingdom,Lewis Vasquez,983-510-5452
12868.0,United Kingdom,Christopher Sterner,569-324-7644
17572.0,United Kingdom,Tricia Hamil,241-559-9331
14078.0,United Kingdom,Timothy Chavira,699-082-7555
14001.0,United Kingdom,Jake Jackson,407-818-8991
12662.0,Germany,Leah Jacobs,775-378-7846
15525.0,United Kingdom,Elbert Walker,296-451-8751
14237.0,United Kingdom,Annette Karas,757-004-5791
17905.0,United Kingdom,Sara Flowers,751-144-2559
15485.0,United Kingdom,Lorraine Webster,928-171-4592
12433.0,Norway,James Kappel,318-252-8242
16955.0,United Kingdom,Stephen Eckman,839-665-3890
15350.0,United Kingdom,Jovita Leiva,590-532-0501
15605.0,United Kingdom,Jewel Jaimes,445-858-1835
18144.0,United Kingdom,Ahmad Kallman,178-288-7826
15922.0,United Kingdom,Jeannette Jacob,585-774-4112
14594.0,United Kingdom,Angie Bloom,909-723-4008
15165.0,United Kingdom,Colleen Santoya,513-735-1992
14911.0,EIRE,Edna Fierro,576-559-7067
16456.0,United Kingdom,Sonia Mccullough,286-280-0067
17841.0,United Kingdom,Pamela Elliott,604-271-3012
12472.0,Germany,Scott Currier,297-388-7419
17346.0,United Kingdom,Wesley Taylor,618-862-4165
17643.0,United Kingdom,Linda Desrochers,167-290-3353
17873.0,United Kingdom,Julie Wilkerson,501-298-2337
13093.0,United Kingdom,Cesar Copper,232-316-4417
12921.0,United Kingdom,Martha Waters,778-352-7953
13468.0,United Kingdom,James Webster,338-584-7849
17760.0,United Kingdom,Doreen Connors,455-036-9903
16928.0,United Kingdom,Charlene Stokes,314-546-4100
16048.0,United Kingdom,Francis Gunnerson,554-634-3482
16274.0,United Kingdom,Stephani Tigner,566-384-6481
14496.0,United Kingdom,Joanne Myers,881-836-5425
14696.0,United Kingdom,Willie Ingram,287-407-7404
16539.0,United Kingdom,Mabel Sanders,773-487-7664
